"company","MA_opt","SD_opt","strategy_return","buy_hold_return","strategy_return_year","buy_hold_return_year","nb_years"
"Adidas",29,3.1,10.4260975750029,6.37208079898133,0.188433945299336,0.152093174222668,14.11
"Air Liquide",15,2.4,5.65654113137389,1.45321644932614,0.143786713777267,0.065666349180417,14.11
"Airbus",12,4.1,6.82168496486503,2.76934030222182,0.15693705761048,0.0986033466022074,14.11
"Anheuser-Busch Inbev",26,3.5,2.54451025668864,0.715835270078388,0.093825382273125,0.0390051229989477,14.11
"ASML Holding",25,4.9,16.6917777897679,15.4101492479549,0.225834142602041,0.219318372442679,14.11
"Axa",33,3,1.76322921157113,-0.40237989331203,0.0746919027696387,-0.0358272147096641,14.11
"BNP Paribas",10,2,3.17995298974109,-0.480350119027011,0.106683631972183,-0.0453329417014752,14.11
"CAC 40",12,2.8,1.90228976621698,0.02470011597193,0.0784381316147582,0.00173076607089828,14.11
"Engie",19,2.2,0.753300479538231,-0.595093863311762,0.0405968804228227,-0.0620654645339821,14.11
"ENI",26,3.5,0.545581167788445,-0.648905548808052,0.0313385770121217,-0.0714967812743447,14.11
"Essilorluxottica",10,2.4,4.35055342776519,2.17180237858965,0.12621905389604,0.0852465855029361,14.11
"EUROSTOXX 50",12,2.6,1.36292438945183,-0.15726270447176,0.0639592763479024,-0.0122602006766481,13.87
"Danone",19,2.1,2.23749538000774,-0.0281948912239286,0.0868244539819205,-0.00202487841649579,14.11
"Hoffmann Green Cement Technologies",24,3.3,0.665957444664925,0.808504028600974,0.467792246172372,0.561253027808223,1.33
"ING Groep",13,3,1.16322464576677,-0.696234725751534,0.0562074563183719,-0.0809765655269229,14.11
"KERING",10,2.7,9.16550371790889,4.13048399122257,0.178628558201551,0.122871720700184,14.11
"Koninklikke Ahold Delhaize",31,3.8,4.26720573039774,1.34925909565338,0.144629839905095,0.0719066990474664,12.3
"Koninklijke Philips",10,2.4,2.92827343566331,0.615912802832777,0.101823671583408,0.0345963384414851,14.11
"L'Oreal",10,2.9,10.7223819317902,3.03658888530227,0.190592097318634,0.103949717565173,14.11
"LVMH",14,2.8,10.2977094315697,5.6752055645541,0.18748256843292,0.144013710275011,14.11
"McPhy Energy",30,4.9,6.65684485443483,2.05048318688073,0.343721052769812,0.175710068471232,6.89
"NASDAQ 100",13,3.1,10.4123944814134,6.6729411237966,0.188332877964602,0.155363841083032,14.11
"Neste",12,4.9,9.83736624324449,6.34705828664079,0.183986712634459,0.151815594854243,14.11
"Nokia",12,5,0.792659013468899,-0.769429821305042,0.0422353944896054,-0.0987593733150895,14.11
"Orange",11,3.9,1.40921266715535,-0.55478590493153,0.064300212062347,-0.0557359118745008,14.11
"Peugeot S.A.",11,4.3,4.25247818254162,-0.429932212621987,0.125497580494791,-0.0392653441433144,14.03
"Prosus",27,3.3,1.08277262738367,0.508777922046455,0.664481875118405,0.330593389162313,1.44
"S&P 500",15,2.7,3.06575720522112,1.70932628320196,0.10451318080129,0.0731924939906614,14.11
"Safran",16,4.6,12.6644832079443,5.1638402468599,0.203597969997868,0.137569991721737,14.11
"Sanofi",35,2.6,2.78671920845158,0.21288279351912,0.0989615605810703,0.0137722175213519,14.11
"Schneider Electric",13,2,13.5778025720657,1.8263892114743,0.209129621367249,0.076414617048683,14.11
"Societe Generale",12,3.3,3.01645631424623,-0.0680722604741997,0.103558592780048,-0.00498399488867085,14.11
"STMicroelectronics",16,4.2,6.18503219224197,1.43902897736094,0.149996657839689,0.0652283906645743,14.11
"Total",13,2.7,1.53400232646914,-0.311059245962341,0.0681161905663297,-0.0260611928863946,14.11
"Unibail-Rodamco-Westfield",13,4.2,1.3020499302316,-0.663783506293267,0.0608737297603348,-0.074341753932759,14.11
"Unilever",20,2,6.20085666360086,1.21023755344587,12098.8989577692,42.670231415332,0.21
"Vinci",11,2.9,8.0548452392807,0.811943452673491,0.169003487126987,0.0430260499249702,14.11
"Vivendi",11,2.1,3.76930217667454,-0.160710853846925,0.117077393251938,-0.0123399562578679,14.11
"Worldline",33,3.2,8.18985354594877,3.68188122352689,0.396614655144638,0.261731444236317,6.64
